content_id,title,type,topic_category,channel,ctr,engagement_rate,reach,headline_length,has_emoji,posting_hour
C043,월요일 동기부여 한 마디,숏폼,생산성,인스타그램,3.6,6.3,19800,13,True,8
C044,현직 PM이 추천하는 협업 툴,카드뉴스,생산성,인스타그램,3.4,5.5,18400,16,True,18
C045,비전공 취업 성공 사례 3가지,숏폼,후기,유튜브,4.0,7.6,23200,16,True,20
C046,트렌드 따라잡기: 숏폼 마케팅 전략,블로그,트렌드,블로그,2.9,3.6,9600,19,False,12
C047,퇴사 전에 꼭 준비할 것들,카드뉴스,커리어,인스타그램,3.5,5.8,19100,14,True,18
C048,집중력 높이는 작업 환경 세팅,숏폼,생산성,유튜브,4.1,7.0,22600,16,True,18
C049,마케터 포트폴리오 이렇게 만들었어요,카드뉴스,후기,인스타그램,3.6,6.4,19700,19,True,20
C050,AI 시대 살아남는 직무 역량,카드뉴스,트렌드,인스타그램,3.8,6.1,21300,16,True,18
C051,아침 루틴 30일 챌린지 후기,숏폼,후기,인스타그램,3.7,7.1,20400,16,True,20
C052,데이터로 보는 콘텐츠 발행 시간,인포그래픽,트렌드,인스타그램,3.1,4.9,16100,17,True,12
C053,신입 마케터 첫 3개월 가이드,블로그,커리어,블로그,3.5,4.1,12200,16,False,8
C054,업무 자동화 입문 노션 템플릿,카드뉴스,생산성,인스타그램,3.9,6.2,22000,16,True,18
C055,요즘 핫한 마케팅 채널 분석,블로그,트렌드,블로그,3.2,3.8,10700,15,False,12
C056,면접 합격 후기 솔직 공유,숏폼,후기,유튜브,4.2,8.0,24800,14,True,20
C057,생산성 덕후의 책상 공개,숏폼,생산성,인스타그램,3.8,6.6,20900,13,True,20
C058,커리어 점프업 한 사람들의 공통점,카드뉴스,커리어,인스타그램,4.0,6.3,23100,18,True,18
C059,2026 채용 키워드 5가지,카드뉴스,트렌드,인스타그램,3.7,5.9,20100,15,True,18
C060,느린 학습자를 위한 공부법,블로그,생산성,블로그,3.0,3.7,10200,14,False,12
C061,숏폼으로 브랜딩하는 법,숏폼,트렌드,유튜브,4.4,7.9,26200,12,True,20
C062,합격 자소서 첨삭 전후 비교,카드뉴스,커리어,인스타그램,3.6,5.7,19500,15,True,12
C063,주말에 몰아서 보는 트렌드 모음,블로그,트렌드,블로그,2.8,3.5,9400,17,False,8
C064,집에서도 일 잘하는 사람의 습관,숏폼,생산성,인스타그램,3.9,6.8,21700,17,True,18
C065,수료생 인터뷰: 6개월의 변화,인포그래픽,후기,인스타그램,3.4,5.8,18600,16,True,18
C066,마케팅 직무 연봉 현실 공개,숏폼,커리어,유튜브,4.5,8.2,27800,15,True,20
C067,올해 꼭 써봐야 할 AI 도구,카드뉴스,트렌드,인스타그램,4.2,6.9,24500,16,True,20
C069,점심에 보는 커리어 짧은 영상,숏폼,커리어,유튜브,3.5,,18900,16,True,12
C070,인스타 카드뉴스 잘 만드는 법,카드뉴스,생산성,인스타그램,3.8,6.1,,16,True,18
C003,이 앱 하나로 일정 관리 끝,숏폼,생산성,인스타그램,4.9,8.1,31200,15,True,20
